child,parent,jurisdiction
"United States Bankruptcy Court, E.D. North Carolina","District Court, E.D. North Carolina",
"United States Bankruptcy Court, M.D. North Carolina","District Court, M.D. North Carolina",
"United States Bankruptcy Court, W.D. North Carolina","District Court, W.D. North Carolina",
"District Court, D. North Dakota",Court of Appeals for the Eighth Circuit,
"United States Bankruptcy Court, D. North Dakota","District Court, D. North Dakota",
"District Court, Northern Mariana Islands",Court of Appeals for the Ninth Circuit,
"District Court, N.D. Ohio",Court of Appeals for the Sixth Circuit,
"District Court, S.D. Ohio",Court of Appeals for the Sixth Circuit,
"United States Bankruptcy Court, N.D. Ohio","District Court, N.D. Ohio",
"United States Bankruptcy Court, S.D. Ohio","District Court, S.D. Ohio",
"District Court, E.D. Oklahoma",Court of Appeals for the Tenth Circuit,
"District Court, N.D. Oklahoma",Court of Appeals for the Tenth Circuit,
"District Court, W.D. Oklahoma",Court of Appeals for the Tenth Circuit,
"United States Bankruptcy Court, E.D. Oklahoma","District Court, E.D. Oklahoma",
"United States Bankruptcy Court, N.D. Oklahoma","District Court, N.D. Oklahoma",
"United States Bankruptcy Court, W.D. Oklahoma","District Court, W.D. Oklahoma",
"District Court, D. Oregon",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, D. Oregon","District Court, D. Oregon",
"District Court, E.D. Pennsylvania",Court of Appeals for the Third Circuit,
"District Court, M.D. Pennsylvania",Court of Appeals for the Third Circuit,
"District Court, W.D. Pennsylvania",Court of Appeals for the Third Circuit,
"United States Bankruptcy Court, E.D. Pennsylvania","District Court, E.D. Pennsylvania",
"United States Bankruptcy Court, M.D. Pennsylvania","District Court, M.D. Pennsylvania",
"United States Bankruptcy Court, W.D. Pennsylvania","District Court, W.D. Pennsylvania",
"District Court, D. Puerto Rico",Court of Appeals for the First Circuit,
"United States Bankruptcy Court, D. Puerto Rico","District Court, D. Puerto Rico",
"District Court, D. Rhode Island",Court of Appeals for the First Circuit,
"United States Bankruptcy Court, D. Rhode Island","District Court, D. Rhode Island",
"District Court, D. South Carolina",Court of Appeals for the Fourth Circuit,
"United States Bankruptcy Court, D. South Carolina","District Court, D. South Carolina",
"District Court, D. South Dakota",Court of Appeals for the Eighth Circuit,
"United States Bankruptcy Court, D. South Dakota","District Court, D. South Dakota",
"District Court, E.D. Tennessee",Court of Appeals for the Sixth Circuit,
"District Court, M.D. Tennessee",Court of Appeals for the Sixth Circuit,
"District Court, W.D. Tennessee",Court of Appeals for the Sixth Circuit,
"United States Bankruptcy Court, E.D. Tennessee","District Court, E.D. Tennessee",
"United States Bankruptcy Court, M.D. Tennessee","District Court, M.D. Tennessee",
"United States Bankruptcy Court, W.D. Tennessee","District Court, W.D. Tennessee",
"District Court, E.D. Texas",Court of Appeals for the Fifth Circuit,
"District Court, N.D. Texas",Court of Appeals for the Fifth Circuit,
"District Court, S.D. Texas",Court of Appeals for the Fifth Circuit,
"District Court, W.D. Texas",Court of Appeals for the Fifth Circuit,
"United States Bankruptcy Court, E.D. Texas","District Court, E.D. Texas",
"United States Bankruptcy Court, N.D. Texas","District Court, N.D. Texas",
"United States Bankruptcy Court, S.D. Texas","District Court, S.D. Texas",
"United States Bankruptcy Court, W.D. Texas","District Court, W.D. Texas",
"District Court, D. Utah",Court of Appeals for the Tenth Circuit,
"United States Bankruptcy Court, D. Utah","District Court, D. Utah",
"District Court, D. Vermont",Court of Appeals for the Second Circuit,
"United States Bankruptcy Court, D. Vermont","District Court, D. Vermont",
"District Court, Virgin Islands",Court of Appeals for the Third Circuit,
"United States Bankruptcy Court, D. Virgin Islands","District Court, Virgin Islands",
"District Court, E.D. Virginia",Court of Appeals for the Fourth Circuit,
"District Court, W.D. Virginia",Court of Appeals for the Fourth Circuit,
"United States Bankruptcy Court, E.D. Virginia","District Court, E.D. Virginia",
"United States Bankruptcy Court, W.D. Virginia","District Court, W.D. Virginia",
"District Court, E.D. Washington",Court of Appeals for the Ninth Circuit,
"District Court, W.D. Washington",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, E.D. Washington","District Court, E.D. Washington",
"United States Bankruptcy Court, W.D. Washington","District Court, W.D. Washington",
"District Court, N.D. West Virginia",Court of Appeals for the Fourth Circuit,
"District Court, S.D. West Virginia",Court of Appeals for the Fourth Circuit,
"United States Bankruptcy Court, N.D. West Virginia","District Court, N.D. West Virginia",
"United States Bankruptcy Court, S.D. West Virginia","District Court, S.D. West Virginia",
"District Court, E.D. Wisconsin",Court of Appeals for the Seventh Circuit,
"District Court, W.D. Wisconsin",Court of Appeals for the Seventh Circuit,
"United States Bankruptcy Court, E.D. Wisconsin","District Court, E.D. Wisconsin",
"United States Bankruptcy Court, W.D. Wisconsin","District Court, W.D. Wisconsin",
"District Court, D. Wyoming",Court of Appeals for the Tenth Circuit,
"United States Bankruptcy Court, D. Wyoming","District Court, D. Wyoming",
United States District Court,,
Supreme Court of Alabama,Supreme Court of the United States,
Court of Civil Appeals of Alabama,Supreme Court of Alabama,
Court of Criminal Appeals of Alabama,Supreme Court of Alabama,
Alaska Supreme Court,Supreme Court of the United States,
Court of Appeals of Alaska,Alaska Supreme Court,
Arizona Supreme Court,Supreme Court of the United States,
Court of Appeals of Arizona,Arizona Supreme Court,
Supreme Court of Arkansas,Supreme Court of the United States,
Court of Appeals of Arkansas,Supreme Court of Arkansas,
California Supreme Court,Supreme Court of the United States,
California Court of Appeal,California Supreme Court,
"California Court of Appeal, 1st District",California Supreme Court,
"California Court of Appeal, 2nd District",California Supreme Court,
"California Court of Appeal, 3rd District",California Supreme Court,
"California Court of Appeal, 4th District",California Supreme Court,
"California Court of Appeal, 5th District",California Supreme Court,
"California Court of Appeal, 6th District",California Supreme Court,
Supreme Court of Colorado,Supreme Court of the United States,
Colorado Court of Appeals,Supreme Court of Colorado,
Supreme Court of Connecticut,Supreme Court of the United States,
Connecticut Appellate Court,Supreme Court of Connecticut,
Connecticut Superior Court,Connecticut Appellate Court,
Supreme Court of Delaware,Supreme Court of the United States,
Court of Chancery of Delaware,Supreme Court of Delaware,
Superior Court of Delaware,Supreme Court of Delaware,
District of Columbia Court of Appeals,Supreme Court of the United States,
Supreme Court of Florida,Supreme Court of the United States,
District Court of Appeal of Florida,Supreme Court of Florida,
Supreme Court of Georgia,Supreme Court of the United States,
Court of Appeals of Georgia,Supreme Court of Georgia,
Hawaii Supreme Court,Supreme Court of the United States,
Hawaii Intermediate Court of Appeals,Hawaii Supreme Court,
Idaho Supreme Court,Supreme Court of the United States,
Idaho Court of Appeals,Idaho Supreme Court,
Illinois Supreme Court,Supreme Court of the United States,
Appellate Court of Illinois,Illinois Supreme Court,
Indiana Supreme Court,Supreme Court of the United States,
Indiana Court of Appeals,Indiana Supreme Court,
Supreme Court of Iowa,Supreme Court of the United States,
Court of Appeals of Iowa,Supreme Court of Iowa,
Supreme Court of Kansas,Supreme Court of the United States,
Court of Appeals of Kansas,Supreme Court of Kansas,
Kentucky Supreme Court,Supreme Court of the United States,
Court of Appeals of Kentucky,Kentucky Supreme Court,
Supreme Court of Louisiana,Supreme Court of the United States,
Louisiana Court of Appeal,Supreme Court of Louisiana,
Supreme Judicial Court of Maine,Supreme Court of the United States,
Court of Appeals of Maryland,Supreme Court of the United States,
Court of Special Appeals of Maryland,Court of Appeals of Maryland,
Massachusetts Supreme Judicial Court,Supreme Court of the United States,
Massachusetts Appeals Court,Massachusetts Supreme Judicial Court,
Massachusetts Superior Court,Massachusetts Appeals Court,
Michigan Supreme Court,Supreme Court of the United States,
Michigan Court of Appeals,Michigan Supreme Court,
Supreme Court of Minnesota,Supreme Court of the United States,
Court of Appeals of Minnesota,Supreme Court of Minnesota,
Mississippi Supreme Court,Supreme Court of the United States,
Court of Appeals of Mississippi,Mississippi Supreme Court,
Supreme Court of Missouri,Supreme Court of the United States,
Missouri Court of Appeals,Supreme Court of Missouri,
Montana Supreme Court,Supreme Court of the United States,
Nebraska Supreme Court,Supreme Court of the United States,
Nebraska Court of Appeals,Nebraska Supreme Court,
Nevada Supreme Court,Supreme Court of the United States,
Court of Appeals of Nevada,Nevada Supreme Court,
Supreme Court of New Hampshire,Supreme Court of the United States,
Supreme Court of New Jersey,Supreme Court of the United States,
New Jersey Superior Court Appellate Division,Supreme Court of New Jersey,
New Mexico Supreme Court,Supreme Court of the United States,
New Mexico Court of Appeals,New Mexico Supreme Court,
New York Court of Appeals,Supreme Court of the United States,
Appellate Division of the Supreme Court of the State of New York,New York Court of Appeals,
Appellate Terms of the Supreme Court of New York,Appellate Division of the Supreme Court of the State of New York,
Supreme Court of North Carolina,Supreme Court of the United States,
Court of Appeals of North Carolina,Supreme Court of North Carolina,
North Dakota Supreme Court,Supreme Court of the United States,
North Dakota Court of Appeals,North Dakota Supreme Court,
Ohio Supreme Court,Supreme Court of the United States,
Ohio Court of Appeals,Ohio Supreme Court,
Supreme Court of Oklahoma,Supreme Court of the United States,
Court of Civil Appeals of Oklahoma,Supreme Court of Oklahoma,
Court of Criminal Appeals of Oklahoma,Supreme Court of the United States,
Oregon Supreme Court,Supreme Court of the United States,
Court of Appeals of Oregon,Oregon Supreme Court,
Supreme Court of Pennsylvania,Supreme Court of the United States,
Superior Court of Pennsylvania,Supreme Court of Pennsylvania,
Commonwealth Court of Pennsylvania,Supreme Court of Pennsylvania,
Supreme Court of Rhode Island,Supreme Court of the United States,
Superior Court of Rhode Island,Supreme Court of Rhode Island,
Supreme Court of South Carolina,Supreme Court of the United States,
Court of Appeals of South Carolina,Supreme Court of South Carolina,
South Dakota Supreme Court,Supreme Court of the United States,
Tennessee Supreme Court,Supreme Court of the United States,
Court of Appeals of Tennessee,Tennessee Supreme Court,
Court of Criminal Appeals of Tennessee,Tennessee Supreme Court,
Texas Supreme Court,Supreme Court of the United States,
Court of Appeals of Texas,Texas Supreme Court,
Court of Criminal Appeals of Texas,Supreme Court of the United States,
Utah Supreme Court,Supreme Court of the United States,
Court of Appeals of Utah,Utah Supreme Court,
Supreme Court of Vermont,Supreme Court of the United States,
Vermont Superior Court,Supreme Court of Vermont,
Supreme Court of Virginia,Supreme Court of the United States,
Court of Appeals of Virginia,Supreme Court of Virginia,
Washington Supreme Court,Supreme Court of the United States,
Court of Appeals of Washington,Washington Supreme Court,
West Virginia Supreme Court,Supreme Court of the United States,
Intermediate Court of Appeals of West Virginia,West Virginia Supreme Court,
Wisconsin Supreme Court,Supreme Court of the United States,
Court of Appeals of Wisconsin,Wisconsin Supreme Court,
Wyoming Supreme Court,Supreme Court of the United States,
