,lower_court,count,first_case_num,cl_court_id,cl_court_name
288,"Court of Appeals of Texas, Sixth District",76,06-02-00103-CR,,
280,"Court of Appeals of Texas, Eleventh District",76,11-03-00030-CR,,
302,Court of Civil Appeals of Alabama,76,2010679,alacivapp,Alabama Court of Civil Appeals
301,"Court of Appeals of Wisconsin, District IV",75,01-0790-CR,,
232,"Court of Appeals of Ohio, Hamilton County",75,C-020698,,
576,Supreme Court of Puerto Rico,74,CC-2000-144,prsupreme,Supreme Court of Puerto Rico
173,"Court of Appeal of Louisiana, Second Circuit",74,"37, 244-KA",,
585,Supreme Court of Vermont,73,338-6-02 OsCr,vt,Supreme Court of Vermont
582,"Supreme Court of Tennessee, Western Division",73,W2000-02204-SC-DDT-DD,,
182,Court of Appeals of Indiana,71,18A-PL-645,indctapp,Indiana Court of Appeals
174,"Court of Appeal of Louisiana, Third Circuit",70,03-461,,
577,Supreme Court of Rhode Island,69,94-745-C.A.,ri,Supreme Court of Rhode Island
421,"Superior Court of Georgia, Butts County",68,93-V-217,,
186,"Court of Appeals of Indiana, Second District",67,29A05-0301-CR-3,,
292,"Court of Appeals of Texas, Twelfth District",66,12-01-00374-CR,,
580,"Supreme Court of Tennessee, Eastern Division",65,E2001-00604-SC-R11-CD,,
277,"Court of Appeals of Tennessee, Middle Division",65,M2002-02871-COA-R3-CV,,
279,"Court of Appeals of Texas, Eighth District",63,08-02-00269-CV,,
170,"Court of Appeal of Louisiana, Fifth Circuit",61,02KA334,,
300,"Court of Appeals of Wisconsin, District III",60,02-2350-CR,,
612,United States District Court for the District of Columbia,59,04-1260,dcd,"District Court, District of Columbia"
555,Supreme Court of New Mexico,57,"27, 823",nm,New Mexico Supreme Court
389,Intermediate Court of Appeals of Hawaii,57,24766,hawapp,Hawaii Intermediate Court of Appeals
178,Court of Appeals of Arkansas,57,CA02-1072,arkctapp,Arkansas Court of Appeals
187,"Court of Appeals of Indiana, Third District",55,71A03-0212-CR-419,,
264,"Court of Appeals of Ohio, Summit County",50,15388,,
200,Court of Appeals of Nevada,50,81765-COA,nevapp,Court of Appeals of Nevada
398,"Superior Court of Arizona, Maricopa County",49,CR1987-005068,,
276,"Court of Appeals of Tennessee, Eastern Division",46,E2003-00330-COA-R3-CV,,
244,"Court of Appeals of Ohio, Lucas County",44,L-01-1490,,
250,"Court of Appeals of Ohio, Montgomery County",43,20111,,
197,"Court of Appeals of Missouri, Southern District",41,25243,,
181,Court of Appeals of Idaho,37,"23222, 24492",idahoctapp,Idaho Court of Appeals
185,"Court of Appeals of Indiana, Fourth District",35,49A04-0301-CR-37,,
175,Court of Appeals of Alaska,34,A-7762,alaskactapp,Alaska Court of Appeals
278,"Court of Appeals of Tennessee, Western Division",32,W2001-02822-COA-R3-CV,,
263,"Court of Appeals of Ohio, Stark County",30,2002CA00125,,
183,"Court of Appeals of Indiana, Fifth District",29,SSA050201CR26,,
125,"Circuit Court of West Virginia, Kanawha County",28,02-C-1350,,
97,"Circuit Court of Michigan, Wayne County, Criminal Division",27,93-010422-01,,
305,"Court of Civil Appeals of Oklahoma, Second Division",27,"98, 112, 98, 114",,
306,"Court of Civil Appeals of Oklahoma, Third Division",25,99565,,
213,"Court of Appeals of Ohio, Butler County",25,CA200109215,,
434,"Superior Court of Georgia, Fulton County",23,2002CV63413,,
96,"Circuit Court of Michigan, Wayne County",22,"88-03080, 88-02394",,
265,"Court of Appeals of Ohio, Trumbull County",22,2002-T-0086,,
672,United States District Court for the Western District of Texas,21,SA-01-CA-1049-WWJ,txwd,"District Court, W.D. Texas"
246,"Court of Appeals of Ohio, Mahoning County",20,01 CA 229,,
243,"Court of Appeals of Ohio, Lorain County",20,04CA008509,,
637,United States District Court for the Eastern District of Texas,20,2:03-CV-354,txed,"District Court, E.D. Texas"
39,"Appellate Division, Supreme Court ofNew York, Second Judicial Department",20,1998-07404,nyappdiv,The Four Departments of the Appellate Division
591,Supreme Court of the Virgin Islands,20,2017-0042,virginislands,Supreme Court of The Virgin Islands
536,Supreme Court of Guam,19,CVA04-006,guam,Supreme Court of Guam
239,"Court of Appeals of Ohio, Lake County",18,2001-L-101,,
303,"Court of Civil Appeals of Oklahoma, First Division",17,"98, 379",,
19,Appellate Court of Maryland,16,"1839, September Term, 2023",,
258,"Court of Appeals of Ohio, Richland County",14,2003-CA-0117,,
642,United States District Court for the Middle District of North Carolina,13,1:16-CV-1026,ncmd,"District Court, M.D. North Carolina"
545,Supreme Court of Maryland,13,"371, September Term, 2023",md,Court of Appeals of Maryland
294,Court of Appeals of Virginia,13,2858-00-4,vactapp,Court of Appeals of Virginia
23,"Appellate Division, Superior Court of California, County of Los Angeles",12,BR042724,,
491,"Superior Court of North Carolina, Forsyth County",12,"93CRS2145, 93CRS2482",,
638,United States District Court for the Eastern District of Virginia,12,3:14cv852,vaed,"District Court, E.D. Virginia"
455,"Superior Court of Georgia, Tattnall County",11,2002-HC-56,,
88,"Circuit Court of Michigan, Oakland County",11,90-102799-FH,,
38,"Appellate Division, Supreme Court ofNew York, Fourth Judicial Department",11,341,nyappdiv,The Four Departments of the Appellate Division
609,United States District Court for the Central District of California,11,01-08477,cacd,United States District Court for the Central District of California
645,United States District Court for the Northern District of Alabama,11,2:21-cv-1530,alnd,United States District Court for the Northern District of Alabama
675,United States District Courts for the Eastern District and the Northern District of California,11,"CIV S-90-0520, C01-1351",,
340,"District Court of Appeals of Florida, Sixth District",10,"6D2024-0641, 6D2024-0147",,
304,"Court of Civil Appeals of Oklahoma, Fourth Division",10,"98, 886",,
563,"Supreme Court of New York, New York County",10,2174/88,,
664,United States District Court for the Southern District of Ohio,10,C2-01-1132,ohsd,"District Court, S.D. Ohio"
62,"Circuit Court of Maryland, Baltimore City",10,24-C-02-004449,,
368,"District Court of New Mexico, Bernalillo County",9,CR 94-1321,,
134,"Circuit Court of West Virginia, Ohio County",9,01-C-145,,
663,United States District Court for the Southern District of New York,9,"02 Civ. 618, 02 Civ. 3239",nysd,"District Court, S.D. New York"
77,"Circuit Court of Michigan, Genesee County",9,02-9621-FH,,
63,"Circuit Court of Maryland, Baltimore County",9,89 CR 3102,,
69,"Circuit Court of Maryland, Prince George's County",9,CAL05-14829,,
79,"Circuit Court of Michigan, Ingham County",9,01-93776-NZ,,
617,United States District Court for the District of Maryland,9,8:20-cv-02225-PX-PAH-ELH,mdd,"District Court, D. Maryland"
662,United States District Court for the Southern District of Mississippi,8,3:11cv159-TSL-EGJ-LG-MTP,mssd,"District Court, S.D. Mississippi"
643,United States District Court for the Middle District of Pennsylvania,8,1:CV-01-2439,pamd,"District Court, M.D. Pennsylvania"
256,"Court of Appeals of Ohio, Portage County",8,2002-P-0018,,
420,"Superior Court of Georgia, Baldwin County",8,04CV38861,,
633,United States District Court for the Eastern District of Michigan,8,01-72584-BC,mied,"District Court, E.D. Michigan"
625,United States District Court for the District of South Carolina,8,11-cv-03120-HFF-MBS-PMD,scd,"District Court, D. South Carolina"
436,"Superior Court of Georgia, Gwinnett County",8,04-A-00927-8,,
447,"Superior Court of Georgia, Mitchell County",8,02-V-532,,
226,"Court of Appeals of Ohio, Fairfield County",8,03-CA-97,,
400,"Superior Court of Arizona, Pima County",7,CR-28657,,
252,"Court of Appeals of Ohio, Muskingum County",7,CT2002-0037,,
42,"Appellate Term of the Supreme Court of New York, 9th & 10th Jud. Dist.",7,2003-21 W CR,nyappterm,Appellate Terms of the Supreme Court of New York
229,"Court of Appeals of Ohio, Geauga County",7,2015-G-0021,,
118,"Circuit Court of West Virginia, Cabell County",7,01-F-115,,
139,"Circuit Court of West Virginia, Raleigh County",7,02-C-873-H,,
639,United States District Court for the Middle District of Alabama,7,2:05cv1100-MHT,almd,United States District Court for the Middle District of Alabama
437,"Superior Court of Georgia, Habersham County",7,22CV0341,,
636,United States District Court for the Eastern District of Pennsylvania,7,"01-CV-1303, 01-CV-1322",paed,"District Court, E.D. Pennsylvania"
634,United States District Court for the Eastern District of New York,7,1:16-cr-00528-HBP-1,nyed,"District Court, E.D. New York"
269,"Court of Appeals of Ohio, Warren County",7,CA2019-07-074,,
610,United States District Court for the District of Arizona,7,CV-12-01211-PHX-PGR-MMS-GMS,azd,United States District Court for the District of Arizona
590,Supreme Court of the Commonwealth of the Northern Mariana Islands,7,02-033-GA,nmi,Supreme Court of The Commonwealth of The Northern Mariana Islands
207,"Court of Appeals of Ohio, Allen County",7,1-03-07,,
458,"Superior Court of Georgia, Ware County",7,10-V-0891,,
