id,parent_court_id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,jurisdiction_name,jurisdiction_type,jurisdiction_state,parent_court_full_name,parent_court_id,note
tecoa,,,,,,,2013-08-14T22:20:33Z,TRUE,FALSE,FALSE,116.1,Temp. Emerg. Ct. App.,Temporary Emergency Court of Appeals,Temporary Emergency Court of Appeals,http://www.fjc.gov/history/home.nsf/page/courts_special_tecoa.html,1971-12-01,1992-10-29,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
fiscr,,,,,,,2014-05-27T15:58:53.457Z,TRUE,FALSE,FALSE,140,FISA Ct. Rev.,Foreign Intelligence Surveillance Court of Review,Foreign Intelligence Surveillance Court of Review,http://www.fisc.uscourts.gov/,1978-10-25,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
fisc,,,,,,,2014-05-27T15:58:47.570Z,TRUE,FALSE,FALSE,140.1,FISA Ct.,Foreign Intelligence Surveillance Court,Foreign Intelligence Surveillance Court,http://www.fisc.uscourts.gov/,1978-10-25,,FS,Added a bit late to the collection due to Mike's mistaken thought that FISC and FISCR were just two names for the same thing.,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
reglrailreorgct,,,,,,,2013-08-14T22:20:40Z,TRUE,FALSE,FALSE,140.5,Regl. Rail Reorg. Act,Special Court under the Regional Rail Reorganization Act,Special Court under the Regional Rail Reorganization Act,http://www.uscourts.gov/news/TheThirdBranch/96-11-01/Special_Railroad_Court_to_Close_Doors.aspx,1973-01-01,1996-03-01,FS,Lawbox,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
cit,,14,,,,,2019-02-06T19:45:24.399Z,TRUE,TRUE,FALSE,141,Ct. Intl. Trade,Court of International Trade,United States Court of International Trade,http://www.cit.uscourts.gov/,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
usberlinct,usdistct,,,,,,2023-10-03T01:23:43.533Z,FALSE,FALSE,FALSE,142,,United States Court of Berlin,United States Court of Berlin,,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
bap1,,,,,,,2024-01-09T19:18:10.710Z,TRUE,TRUE,FALSE,150,1st Cir. BAP,First Circuit,Bankruptcy Appellate Panel of the First Circuit,http://www.bap1.uscourts.gov/,,,FBP,Lawbox,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the First Circuit,ca1,
bap2,,,,,,,2013-10-25T01:28:18.159Z,TRUE,FALSE,FALSE,150.1,2d Cir. BAP,Second Circuit,Bankruptcy Appellate Panel of the Second Circuit,http://www.bap2.uscourts.gov/,,,FBP,Lawbox,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Second Circuit,ca2,
bap6,,,,,,,2013-10-25T01:28:23.950Z,TRUE,FALSE,FALSE,152,6th Cir. BAP,Sixth Circuit,Bankruptcy Appellate Panel of the Sixth Circuit,http://www.bap6.uscourts.gov/,,,FBP,Lawbox,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Sixth Circuit,ca6,
bap8,,,,,,,2013-10-25T01:28:29.427Z,TRUE,FALSE,FALSE,153,8th Cir. BAP,Eighth Circuit,United States Bankruptcy Appellate Panel for the Eighth Circuit,http://www.ca8.uscourts.gov/bankruptcy-appellate-panel,,,FBP,Lawbox,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Eighth Circuit,ca8,
bap9,,,,,,,2013-10-25T01:28:35.262Z,TRUE,TRUE,FALSE,154,9th Cir. BAP,Ninth Circuit,United States Bankruptcy Appellate Panel for the Ninth Circuit,http://www.ca9.uscourts.gov/bap/,,,FBP,,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Ninth Circuit,ca9,
bap10,,,,,,,2014-09-02T22:59:57.169Z,TRUE,TRUE,FALSE,154.1,10th Cir. BAP,Tenth Circuit,Bankruptcy Appellate Panel of the Tenth Circuit,http://www.bap10.uscourts.gov/,,,FBP,Lawbox,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Tenth Circuit,ca10,
almb,,16,1,"answer,appeal,court,motion,order,caseupld,misc",,27,2020-07-28T06:14:10.015Z,TRUE,FALSE,FALSE,155,Bankr. M.D. Ala.,M.D. Alabama,"United States Bankruptcy Court, M.D. Alabama",http://www.almb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Alabama,"District Court, M.D. Alabama",almd,
alnb,,18,1,all,,26,2020-07-28T06:14:17.584Z,TRUE,FALSE,FALSE,156,Bankr. N.D. Ala.,N.D. Alabama,"United States Bankruptcy Court, N.D. Alabama",http://www.alnb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Alabama,"District Court, N.D. Alabama",alnd,
