id,full_name,jurisdiction,jurisdiction_name,jurisdiction_type,jurisdiction_state,appeals_to_full_name,appeals_to_id,note
mtb,"United States Bankruptcy Court, D. Montana",FB,Federal Bankruptcy,Federal,Montana,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
nebraskab,"United States Bankruptcy Court, D. Nebraska",FB,Federal Bankruptcy,Federal,Nebraska,"District Court, D. Nebraska",ned,
nebraskab,"United States Bankruptcy Court, D. Nebraska",FB,Federal Bankruptcy,Federal,Nebraska,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
nvb,"United States Bankruptcy Court, D. Nevada",FB,Federal Bankruptcy,Federal,Nevada,"District Court, D. Nevada",nvd,
nvb,"United States Bankruptcy Court, D. Nevada",FB,Federal Bankruptcy,Federal,Nevada,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
nhb,"United States Bankruptcy Court, D. New Hampshire",FB,Federal Bankruptcy,Federal,New Hampshire,"District Court, D. New Hampshire",nhd,
njb,"United States Bankruptcy Court, D. New Jersey",FB,Federal Bankruptcy,Federal,New Jersey,"District Court, D. New Jersey",njd,
nmb,"United States Bankruptcy Court, D. New Mexico",FB,Federal Bankruptcy,Federal,New Mexico,"District Court, D. New Mexico",nmd,
nmb,"United States Bankruptcy Court, D. New Mexico",FB,Federal Bankruptcy,Federal,New Mexico,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
nyeb,"United States Bankruptcy Court, E.D. New York",FB,Federal Bankruptcy,Federal,New York,"District Court, E.D. New York",nyed,
nynb,"United States Bankruptcy Court, N.D. New York",FB,Federal Bankruptcy,Federal,New York,"District Court, N.D. New York",nynd,
nysb,"United States Bankruptcy Court, S.D. New York",FB,Federal Bankruptcy,Federal,New York,"District Court, S.D. New York",nysd,
nywb,"United States Bankruptcy Court, W.D. New York",FB,Federal Bankruptcy,Federal,New York,"District Court, W.D. New York",nywd,
nceb,"United States Bankruptcy Court, E.D. North Carolina",FB,Federal Bankruptcy,Federal,North Carolina,"District Court, E.D. North Carolina",nced,
ncmb,"United States Bankruptcy Court, M.D. North Carolina",FB,Federal Bankruptcy,Federal,North Carolina,"District Court, M.D. North Carolina",ncmd,
ncwb,"United States Bankruptcy Court, W.D. North Carolina",FB,Federal Bankruptcy,Federal,North Carolina,"District Court, W.D. North Carolina",ncwd,
ndb,"United States Bankruptcy Court, D. North Dakota",FB,Federal Bankruptcy,Federal,North Dakota,"District Court, D. North Dakota",ndd,
ndb,"United States Bankruptcy Court, D. North Dakota",FB,Federal Bankruptcy,Federal,North Dakota,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
ohnb,"United States Bankruptcy Court, N.D. Ohio",FB,Federal Bankruptcy,Federal,Ohio,"District Court, N.D. Ohio",ohnd,
ohnb,"United States Bankruptcy Court, N.D. Ohio",FB,Federal Bankruptcy,Federal,Ohio,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
ohsb,"United States Bankruptcy Court, S.D. Ohio",FB,Federal Bankruptcy,Federal,Ohio,"District Court, S.D. Ohio",ohsd,
ohsb,"United States Bankruptcy Court, S.D. Ohio",FB,Federal Bankruptcy,Federal,Ohio,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
okeb,"United States Bankruptcy Court, E.D. Oklahoma",FB,Federal Bankruptcy,Federal,Oklahoma,"District Court, E.D. Oklahoma",oked,
okeb,"United States Bankruptcy Court, E.D. Oklahoma",FB,Federal Bankruptcy,Federal,Oklahoma,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
