docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
2017,CASES,FOR ARGUMENT,USCA-7,2/27/17,10/10/17,11/8/17,VACATED AND REMANDED  16-712 CFX OIL STATES ENERGY SERVICES V. GREENE’S ENERGY GROUP     Court: USCA- Fed.    Granted: 6/12/17     Argument Date: 11/27/17   Decided: 4/24/18,Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-Fed. Granted: 1/12/18 (SAA – no part),1/12/18,4/16/18,6/22/18,REVERSED AND REMANDED  16-1027 CSY COLLINS V. VIRGINIA  Court: SC-VA     Argument Date: 1/9/18,Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-11 Granted: 1/12/18,1/12/18,4/17/18,6/4/18,"AFFIRMED  16-1220* CFX ANIMAL SCIENCE PRODUCTS, INC. V. HEBEI WELCOME      PHARMACEUTICAL CO.    Court: USCA-2    Granted: 1/12/18     Argument Date: 4/24/18   Decided: 6/14/18",Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-8,12/8/17,3/19/18,6/11/18,REVERSED AND REMANDED  16-1435 CFX MINNESOTA VOTERS ALLIANCE V. MANSKY     Court: USCA-8    Granted: 11/13/17     Argument Date: 2/28/18   Decided: 6/14/18,Oct-17,,,,
2017,CASES,FOR ARGUMENT,SC-LA,9/28/17,1/17/18,5/14/18,REVERSED AND REMANDED  16-9493 CFY ROSALES-MIRELES V. UNITED STATES     Court: USCA-5    Granted: 9/28/17     Argument Date: 2/21/18   Decided: 6/18/18,Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-9,1/12/18,4/18/18,6/11/18,AFFIRMED by an equally divided Court (AMK – no part)  17-312* CFY UNITED STATES V. SANCHEZ-GOMEZ    Court: USCA-9    Granted: 12/8/17     Argument Date: 3/26/18   Decided: 5/14/18,Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-7 Granted: 1/12/18,1/12/18,4/16/18,6/21/18,"REVERSED AND REMANDED  17-586) 1  17-626)2  ATX  ATX  ABBOTT, GOV. OF TX V. PEREZ  ABBOTT, GOV. OF TX V. PEREZ  Court: USDC-W. Dist., TX Juris Postponed: 1/12/18    Argument Date: 4/24/18   Decided: 6/25/18",Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-2 Granted: 3/27/17,3/27/17,1/16/18,6/22/18,PETITION DISMISSED – Rule 46  16-961 CMY DALMAZZI V. UNITED STATES     Court: USCA-Armed Forces    Granted: 9/28/17  Argument Date: 1/16/18 (w/16-1017 & 16-1423) Decided: 6/22/18,Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-9,12/1/17,,,PETITION DISMISSED – Rule 46  Cases (Arguments) Made Available: 74 (67)  Cases (Arguments) Disposed of Without Argument: 5 (4 Available Arguments)    - BY SIGNED OPINION/JUDGMENT:  - BY PER CURIAM OPINION:  - DISMISSED/,Oct-17,,,,
16-1094,CFX,REPUBLIC OF SUDAN V. HARRISON,USCA-2,6/25/18,11/7/18,3/26/19,REVERSED AND REMANDED,Oct-18,16-1094,SUDAN V. HARRISON,802 F.3d 399,14-121-cv
16-1275,CFX,"VIRGINIA URANIUM, INC. V. WARREN",USCA-4,5/21/18,11/5/18,6/17/19,AFFIRMED,Oct-18,16-1275,"VIRGINIA URANIUM, INC. V. WARREN",848 F.3d 590,16-1005
16-1363,CFX,NIELSEN V. PREAP,USCA-9,3/19/18,10/10/18,3/19/19,REVERSED AND REMANDED,Oct-18,16-1363,"NIELSEN, SECRETARY OF HOMELAND SECURITY V. PREAP",831 F.3d 1193,14-16326
16-1498,CSX,"WASHINGTON STATE DEPT. OF LICENSING V. COUGAR DEN, INC.",SC-WA,6/25/18,10/30/18,3/19/19,AFFIRMED,Oct-18,16-1498,"WASHINGTON DEPT. OF LICENSING V. COUGAR DEN, INC.",392 P.3d 1014,92289-6
17-71,CFX,WEYERHAEUSER CO. V. UNITED STATES FISH AND WILDLIFE SERVICE,USCA-5,1/22/18,10/1/18,11/27/18,VACATED AND REMANDED (BK – no part),Oct-18,17-71,WEYERHAUSER COMPANY V. FISH AND WILDLIFE SERVICE,827 F.3d 452,14-31008
17-204,CFX,APPLE INC. V. PEPPER,USCA-9,6/18/18,11/26/18,5/13/19,AFFIRMED,Oct-18,17-204,APPLE INC. V. PEPPER,846 F.3d 313,14-15000
17-290,CFX,MERCK SHARP & DOHME CORP. V. ALBRECHT,USCA-3,6/28/18,1/7/19,5/20/19,VACATED AND REMANDED,Oct-18,17-290,MERCK SHARP & DOHME CORP. V. ALBRECHT,852 F.3d 268,14-1900
17-340,CFX,NEW PRIME INC. V. OLIVEIRA,USCA-1,2/26/18,10/3/18,1/15/19,AFFIRMED (BK – no part),Oct-18,17-340,NEW PRIME INC. V. OLIVEIRA,857 F.3d 7,15-2364
17-419,CSX,DAWSON V. STEAGER,"SC Appeals, WV",6/25/18,12/3/18,2/20/19,REVERSED AND REMANDED,Oct-18,17-419,"DAWSON V. STEAGER, WV STATE TAX COMMISSIONER",2017 WL 2172006,16-0441
17-532,CSY,HERRERA V. WYOMING,"DC-WY, Sheridan Cty",6/28/18,1/8/19,5/20/19,VACATED AND REMANDED,Oct-18,17-532,HERRERA V. WYOMING,Unreported,2016-242
17-571,CFX,"FOURTH ESTATE PUB. BENEFIT CORP. V. WALL-STREET.COM, LLC",USCA-11,6/28/18,1/8/19,3/4/19,AFFIRMED,Oct-18,17-571,FOURTH ESTATE PUBLIC BENEFIT CORPORATION V. WALL-STREET.COM,856 F3d 1338,16-13726
17-587,CFX,MOUNT LEMMON FIRE DISTRICT V. GUIDO,USCA-9,2/26/18,10/1/18,11/6/18,AFFIRMED (BK – no part),Oct-18,17-587,MOUNT LEMMON FIRE DISTRICT V. GUIDO,859 F.3d 1168,15-15030
