docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
22-1078,CFX,"WARNER CHAPPELL MUSIC, INC. V. NEALY",USCA-11,9/29/23,2/21/24,5/9/24,AFFIRMED,Oct-23,22-1078,WARNER CHAPPELL MUSIC V. NEALY,60 F.4th 1325,21-13232
22-1219,CFX,"RELENTLESS, INC. V. DEPARTMENT OF COMMERCE",USCA-1,10/13/23,1/17/24,6/28/24,"VACATED AND REMANDED (KBJ – no part as to No. 22-451)       – see opinion Loper Bright Enterprises v. Raimondo, No. 22-451.",Oct-23,22-1219,"RELENTLESS, INC. V. DEPARTMENT OF COMMERCE",62 F.4th 621,21-1886
22-1238,CFX,"UNITED STATES TRUSTEE V. JOHN Q. HAMMONS FALL 2006, LLC",USCA-10,9/29/23,1/9/24,6/14/24,REVERSED AND REMANDED,Oct-23,22-1238,UNITED STATES TRUSTEE V. JOHN Q. HAMMONS FALL,2022 WL 3354682,20-3203
23-14,CFY,DIAZ V. UNITED STATES,USCA-9,11/13/23,3/19/24,6/20/24,AFFIRMED,Oct-23,23-14,DIAZ V. UNITED STATES,2023 WL 314309,21-50238
23-50,CFX,CHIAVERINI V. CITY OF NAPOLEON,USCA-6,12/13/23,4/15/24,6/20/24,VACATED AND REMANDED,Oct-23,23-50,"CHIAVERINI V. NAPOLEON, OH",2023 WL 152477,21-3996
23-108,CFY,SNYDER V. UNITED STATES,USCA-7,12/13/23,4/15/24,6/26/24,REVERSED AND REMANDED,Oct-23,23-108,SNYDER V. UNITED STATES,71 F.4th 555,21-2986
23-124,CFX,HARRINGTON V. PURDUE PHARMA L.P.,USCA-2,8/10/23,12/4/23,6/27/24,REVERSED AND REMANDED,Oct-23,23-124,"HARRINGTON V. PURDUE PHARMA, L.P.",69 F.4th 45,22-110
23-175,CFX,CITY OF GRANTS PASS V. JOHNSON,USCA-9,1/12/24,4/22/24,6/28/24,REVERSED AND REMANDED,Oct-23,23-175,CITY OF GRANTS PASS V. JOHNSON,72 F.4th 868,20-35752
23-334,CFX,DEPARTMENT OF STATE V. MUÑOZ,USCA-9,1/12/24,4/23/24,6/21/24,REVERSED AND REMANDED,Oct-23,23-334,DEPARTMENT OF STATE V. MUNOZ,50 F.4th 906,21-55365
23-370,CFY,ERLINGER V. UNITED STATES,USCA-7,11/20/23,3/27/24,6/21/24,VACATED AND REMANDED,Oct-23,23-370,ERLINGER V. UNITED STATES,77 F.4th 617,22-1926
23-411,CFX,MURTHY V. MISSOURI,USCA-5,10/20/23,3/18/24,6/26/24,REVERSED AND REMANDED,Oct-23,23-411,MURTHY V. MISSOURI,83 F.4th 350,23-30445
23-939,CFY,TRUMP V. UNITED STATES,USCA-DC,2/28/24,4/25/24,7/1/24,VACATED AND REMANDED,Oct-23,23-939,TRUMP V. UNITED STATES,91 F.4th 1173,23-3228
23-5572,CFY,FISCHER V. UNITED STATES,USCA-DC,12/13/23,4/16/24,6/28/24,VACATED AND REMANDED,Oct-23,23-5572,FISCHER V. UNITED STATES,64 F.4th 329,22-3038
22-425,CFX,"CARNAHAN, ADMINISTRATOR, GSA V. MALONEY",USCA-DC,5/15/23,,,VACATED AND REMANDED with instructions to dismiss the case.,Oct-23,22-425,CARNAHAN V. MALONEY,984 F.3d 50,18-5305
22-7466,CSX,GLOSSIP V. OKLAHOMA,"Crim. App., OK",1/22/24,10/9/24,2/25/25,REVERSED AND REMANDED (NMG - no part),Oct-24,22-7466,GLOSSIP V. OKLAHOMA,529 P.3d 218,PCD-2023-267
23-191,CSX,WILLIAMS V. REED,SC-AL,1/12/24,10/7/24,2/21/25,REVERSED AND REMANDED,Oct-24,23-191,WILLIAMS V. REED,387 So.3d 138,SC-2022-0897
23-365,CFX,"MEDICAL MARIJUANA, INC. V. HORN",USCA-2,4/29/24,10/15/24,4/2/25,AFFIRMED AND REMANDED,Oct-24,23-365,"MEDICAL MARIJUANA, INC.  V. HORN",80 F.4th 130,22-349-cv
23-477,CFX,UNITED STATES V. SKRMETTI,USCA-6,6/24/24,12/4/24,6/18/25,AFFIRMED,Oct-24,23-477,UNITED STATES V. SKRMETTI,83 F.4th 460,23-5600
23-621,CFX,LACKEY V. STINNIE,USCA-4,4/22/24,10/8/24,2/25/25,REVERSED AND REMANDED,Oct-24,23-621,LACKEY V. STINNIE,77 F.4th 200,21-1756
23-713,CFX,BUFKIN V. COLLINS,USCA-Fed,4/29/24,10/16/24,3/5/25,AFFIRMED,Oct-24,23-713,BUFKIN V. COLLINS,75 F.4th 1368,2022-1089
23-715,CFX,ADVOCATE CHRIST MEDICAL CENTER V. KENNEDY,USCA-DC,6/10/24,11/5/24,4/29/25,AFFIRMED,Oct-24,23-715,"ADVOCATE CHRIST MEDICAL V. KENNEDY, SEC. OF HHS",80 F.4th 346,22-5214
23-753,CFX,CITY AND COUNTY OF SAN FRANCISCO V. EPA,USCA-9,5/28/24,10/16/24,3/4/25,REVERSED AND REMANDED,Oct-24,23-753,SAN FRANCISCO V. ENVIRONMENTAL PROTECTION AGENCY,75 F.4th 1074,21-70282
23-824,CFX,UNITED STATES V. MILLER,USCA-10,6/24/24,12/2/24,3/26/25,REVERSED,Oct-24,23-824,UNITED STATES  V. MILLER,71 F.4th 1247,21-4135
23-825,CFY,DELLIGATTI V. UNITED STATES,USCA-2,6/3/24,11/12/24,3/21/25,AFFIRMED,Oct-24,23-825,DELLIGATTI V. UNITED STATES,83 F.4th 113,18-2482
23-852,CFX,BONDI V. VANDERSTOK,USCA-5,4/22/24,10/8/24,3/26/25,REVERSED AND REMANDED,Oct-24,23-852,BONDI V. VANDERSTOK,86 F.4th 179,23-10718
23-861,CFX,FELICIANO V. DEPARTMENT OF TRANSPORTATION,USCA-Fed,6/24/24,12/9/24,4/30/25,REVERSED AND REMANDED,Oct-24,23-861,FELICIANO V. DEPARTMENT OF TRANSPORTATION,2023 WL 3449138,2022-1219
23-929,CFX,MONSALVO VELAZQUEZ V. BONDI,USCA-10,7/2/24,11/12/24,4/22/25,REVERSED AND REMANDED,Oct-24,23-929,VELAZQUEZ V. BONDI,88 F.4th 1301,22-9576
23-997,CFX,STANLEY V. CITY OF SANFORD,USCA-11,6/24/24,1/13/25,6/20/25,AFFIRMED,Oct-24,23-997,"STANLEY V. CITY OF SANFORD, FLORIDA",83 F.4th 1333,22-10002
23-1122,CFX,"FREE SPEECH COALITION, INC. V. PAXTON",USCA-5,7/2/24,1/15/25,6/27/25,AFFIRMED,Oct-24,23-1122,FREE SPEECH COALITION V. PAXTON,95 F.4th 263,23-50627
23-1187,CFX,FDA V. R. J. REYNOLDS VAPOR CO.,USCA-5,10/4/24,1/21/25,6/20/25,AFFIRMED AND REMANDED,Oct-24,23-1187,FDA V. R.J. REYNOLDS VAPOR CO.,2024 WL 1945307,23-60037
23-1226,CFX,"MCLAUGHLIN CHIROPRACTIC ASSOCIATES, INC. V. MCKESSON CORP.",USCA-9,10/4/24,1/21/25,6/20/25,REVERSED AND REMANDED,Oct-24,23-1226,MCLAUGHLIN CHIROPRACTIC ASSOC. V. MCKESSON CORP.,2023 WL 7015279,22-15710
23-1229,CFX,"EPA V. CALUMET SHREVEPORT REFINING, L.L.C.",USCA-5,10/21/24,3/25/25,6/18/25,VACATED AND REMANDED,Oct-24,23-1229,ENVIRONMENTAL PROTECTION AGENCY  V. CALUMET SHREVEPORT,86 F.4th 1121,22-60266
23-1270,CFX,RILEY V. BONDI,USCA-4,11/4/24,3/24/25,6/26/25,VACATED AND REMANDED,Oct-24,23-1270,RILEY V. BONDI,2024 WL 1826979,22-1609
23-1275,CFX,MEDINA V. PLANNED PARENTHOOD SOUTH ATLANTIC,USCA-4,12/18/24,4/2/25,6/26/25,REVERSED AND REMANDED,Oct-24,23-1275,"MEDINA, DIRECTOR SC DEPT OF HEALTH V. PLANNED PARENTHOOD",95 F.4th 152,21-1043
23-1324,CFX,PERTTU V. RICHARDS,USCA-6,10/4/24,2/25/25,6/18/25,AFFIRMED,Oct-24,23-1324,PERTTU V. RICHARDS,96 F.4th 911,22-1298
23-7483,CFY,ESTERAS V. UNITED STATES,USCA-6,10/21/24,2/25/25,6/20/25,VACATED AND REMANDED,Oct-24,23-7483,ESTERAS V. UNITED STATES,88 F.4th 1163,23-3422
23-7809,CFX,GUTIERREZ V. SAENZ,USCA-5,10/4/24,2/24/25,6/24/25,REVERSED AND REMANDED,Oct-24,23-7809,GUTIERREZ V. SAENZ,93 F.4th 267,21-70009
24-7,CFX,"DIAMOND ALTERNATIVE ENERGY, LLC V. EPA",USCA-DC,12/13/24,4/23/25,6/20/25,REVERSED AND REMANDED,Oct-24,24-7,"DIAMOND ALTERNATIVE ENERGY, LLC V. EPA",98 F.4th 288,22-1081
24-275,CFX,PARRISH V. UNITED STATES,USCA-4,1/17/25,4/21/25,6/12/25,REVERSED AND REMANDED,Oct-24,24-275,PARRISH V. UNITED STATES,74 F.4th 160,20-1766
24-297,CFX,MAHMOUD V. TAYLOR,USCA-4,1/17/25,4/22/25,6/27/25,REVERSED AND REMANDED,Oct-24,24-297,MAHMOUD V. TAYLOR,102 F.4th 191,23-1890
24-316,CFX,"KENNEDY V. BRAIDWOOD MANAGEMENT, INC.",USCA-5,1/10/25,4/21/25,6/27/25,REVERSED AND REMANDED,Oct-24,24-316,"KENNEDY V. BRAIDWOOD MANAGEMENT, INC.",104 F.4th 930,23-10326
24-416,CFX,COMMISSIONER V. ZUCH,USCA-3,1/10/25,4/22/25,6/12/25,REVERSED AND REMANDED,Oct-24,24-416,COMMISSIONER OF INTERNAL REVENUE V. ZUCH,97 F.4th 81,22-2244
23-970,CFX,NVIDIA V. E. OHMAN J:OR FONDER AB,USCA-9,6/17/24,11/13/24,12/11/24,DISMISSED AS IMPROVIDENTLY GRANTED,Oct-24,23-970,NVIDIA CORP. V. E. OHMAN J:OR FONDER AB,81 F.4th 918,21-15604
23-980,CFX,"FACEBOOK, INC. V. AMALGAMATED BANK",USCA-9,6/10/24,11/6/24,11/22/24,DISMISSED AS IMPROVIDENTLY GRANTED,Oct-24,23-980,"FACEBOOK, INC. V. AMALGAMATED BANK",87 F.4th 934,22-15077
24-304,CFX,LABORATORY CORP. OF AMERICA HOLDINGS V. DAVIS,USCA-9,1/24/25,4/29/25,6/5/25,DISMISSED AS IMPROVIDENTLY GRANTED,Oct-24,24-304,LABORATORY CORP. OF AMERICA V. DAVIS,2024 WL 489288,22-55873
24-413,CFX,DEPT. OF EDUCATION V. CAREER COLLEGES AND SCHOOLS OF TX,USCA-5,1/10/25,,,,Oct-24,24-413,DEPARTMENT OF EDUCATION V. CAREER COLLEGES AND SCHOOLS OF,98 F.4th 220,23-50491
23-1197,CFX,LANDOR V. LOUISIANA DEPT. OF CORRECTIONS,USCA-5,6/23/25,,,,Oct-25,23-1197,LANDOR V. LA DEPT. OF CORRECTIONS,82 F.4th 337,22-30686
23-1209,CFX,"M & K EMPLOYEE SOLUTIONS, LLC V. TRUSTEES OF THE IAM PENSION FUND",USCA-DC,6/30/25,,,,Oct-25,23-1209,"M & K EMPLOYEE SOLUTIONS, LLC V. TRUSTEES OF THE IAM PENSION FUND",92 F.4th 316,22-7157
24-43,CFX,WEST VIRGINIA V. B. P. J.,USCA-4,7/3/25,,,,Oct-25,24-43,WEST VIRGINIA V. B.P.J.,98 F.4th 542,23-1078
24-171,CFX,"COX COMMUNICATIONS, INC. V. SONY MUSIC ENTERTAINMENT",USCA-4,6/30/25,,,,Oct-25,24-171,"COX COMMUNICATIONS, INC.  V. SONY MUSIC ENTERTAINMENT",93 F.4th 222,21-1168
24-345,CFX,"FS CREDIT OPPORTUNITIES CORP. V. SABA CAPITAL MASTER FUND, LTD.",USCA-2,6/30/25,,,,Oct-25,24-345,"FS CREDIT CORP. V. SABA CAPITAL MASTER FUND, LTD.",2024 WL 3174971,23-8104
24-351,CFX,POSTAL SERVICE V. KONAN,USCA-5,4/21/25,,,,Oct-25,24-351,UNITED STATES POSTAL SERVICE V. KONAN,96 F.4th 799,23-10179
24-440,CFX,BERK V. CHOY,USCA-3,3/10/25,,,,Oct-25,24-440,BERK V. CHOY,2024 WL 5354482,23-1620
24-482,CFY,ELLINGBURG V. UNITED STATES,USCA-8,4/7/25,,,,Oct-25,24-482,ELLINGBURG V. UNITED STATES,113 F.4th 839,23-3129
24-539,CFX,CHILES V. SALAZAR,USCA-10,3/10/25,,,,Oct-25,24-539,CHILES V. SALAZAR,116 F.4th 1178,22-1445
24-556,CFY,FERNANDEZ V. UNITED STATES,USCA-2,5/27/25,,,,Oct-25,24-556,FERNANDEZ V. UNITED STATES,104 F.4th 420,22-3122
24-557,CSY,VILLARREAL V. TEXAS,"Crim. App., TX",4/7/25,,,,Oct-25,24-557,VILLARREAL V. TEXAS,707 S.W.3d 138,PD-0048-20
24-568,CFX,BOST V. ILLINOIS STATE BD. OF ELECTIONS,USCA-7,6/2/25,,,,Oct-25,24-568,BOST V. ILLINOIS BOARD OF ELECTIONS,114 F.4th 634,23-2644
24-621,CFX,NRSC V. FEC,USCA-6,6/30/25,,,,Oct-25,24-621,NRSC V. FEC,117 F.4th 389,24-3051
24-624,CSY,CASE V. MONTANA,SC-MT,6/2/25,,,,Oct-25,24-624,CASE V. MONTANA,553 P.3d 985,DA
24-724,CFX,"HAIN CELESTIAL GROUP, INC. V. PALMQUIST",USCA-5,4/28/25,,,,Oct-25,24-724,HAIN CELESTIAL GROUP V. PALMQUIST,103 F.4th 294,23-40197
24-758,CFX,"GEO GROUP, INC. V. MENOCAL",USCA-10,6/2/25,,,,Oct-25,24-758,"THE GEO GROUP, INC. V. MENOCAL",2024 WL 4544184,22-1409
24-777,CFX,"URIAS-ORELLANA V. BONDI, ATT'Y GEN.",USCA-1,6/30/25,,,,Oct-25,24-777,URIAS-ORELLANA V. BONDI,121 F.4th 327,24-1042
24-781,CFX,FIRST CHOICE WOMEN'S RESOURCE V. PLATKIN,USCA-3,6/16/25,,,,Oct-25,24-781,"FIRST CHOICE WOMEN'S RESOURCE CENTERS, INC. V. PLATKIN",2024 WL 5088105,24-3124
24-783,CFX,ENBRIDGE ENERGY V. NESSEL,USCA-6,6/30/25,,,,Oct-25,24-783,"ENBRIDGE ENERGY, LP V. NESSEL",104 F.4th 958,23-1671
24-808,CFX,"CONEY ISLAND AUTO PARTS, INC. V. BURTON",USCA-6,6/6/25,,,,Oct-25,24-808,"CONEY ISLAND AUTO PARTS, INC. V. BURTON",109 F.4th 438,23-5881
24-813,CFX,CHEVRON USA INC. V. PLAQUEMINES PARISH,USCA-5,6/16/25,,,,Oct-25,24-813,CHEVRON USA INC. V. PLAQUEMINES PARISH,103 F.4th 324,23-30294
24-872,CFH,HAMM V. SMITH,USCA-11,6/6/25,,,,Oct-25,24-872,"HAMM, COMMISSIONER AL DOC V. SMITH",2024 WL 4793028,21-14519
24-924,CFX,HENCELY V. FLUOR CORP.,USCA-4,6/2/25,,,,Oct-25,24-924,HENCELY V. FLUOR CORP.,120 F.4th 412,21-1994
24-993,CFX,OLIVIER V. CITY OF BRANDON,USCA-5,7/3/25,,,,Oct-25,24-993,"OLIVIER V. BRANDON, MS",2023 WL 5500223,22-60566
24-1056,CFY,RICO V. UNITED STATES,USCA-9,6/30/25,,,,Oct-25,24-1056,RICO V. UNITED STATES,2025 WL 720900,24-2662
24-5438,CFH,BOWE V. UNITED STATES,USCA-11,1/17/25,,,,Oct-25,24-5438,BOWE V. UNITED STATES,CA 11 ORDER 6/27/2024,24-11704
24-5774,CFY,BARRETT V. UNITED STATES,USCA-2,3/3/25,,,,Oct-25,24-5774,BARRETT V. UNITED STATES,102 F.4th 60,21-1379
24-413,CFX,DEPT. OF EDUCATION V. CAREER COLLEGES AND SCHOOLS OF TX,USCA-5,1/10/25,,,,Oct-25,24-413,DEPARTMENT OF EDUCATION V. CAREER COLLEGES AND SCHOOLS OF,98 F.4th 220,23-50491
