cited_cluster_id,citing_cluster_id,citing_court_id
85272,167004,ca10
85272,1535829,pa
85272,768371,ca6
85272,2447814,tennctapp
85272,1559081,dcd
85272,4822785,tax
85272,1989727,flsd
85272,2092681,alsd
85272,1316464,wva
85272,303376,cadc
85272,305234,ca3
85272,1255435,minn
85272,1523446,kywd
85272,1626077,dcd
85272,2284025,wied
85272,1541565,okwb
85272,1550721,pa
85272,796508,ca9
85272,316914,ca9
85272,792779,ca9
85272,2530955,nyed
85272,1540483,mdctspecapp
85272,1982108,pa
85272,1552605,sdd
85272,3341606,connsuperct
85272,1986274,njsuperctappdiv
85272,320451,ca9
85272,1395580,paed
85272,786715,ca3
85272,1557223,flsd
85272,174451,cadc
85272,1987691,ctb
85272,298985,ca7
85272,299058,ca5
85272,1517729,paed
85272,2117580,flnd
85272,787131,ca6
85272,1219572,nev
85272,214511,ca3
85272,2567151,nysd
85272,669631,cadc
85272,1579745,flnd
85272,1521780,texapp
85272,1327547,scctapp
85272,225900,ca10
85272,1219763,wva
85272,1229369,iowa
85272,1595829,txed
85272,1585457,paed
85272,322473,ca6
85272,839423,mich
85272,663704,ca4
85272,1585310,wyd
85272,3267254,ark
85272,2151893,cacd
85272,1227590,wva
85272,172155,ca10
85272,480997,ca3
85272,134743,scotus
85272,1228483,wis
85272,481367,ca6
85272,1601946,michctapp
85272,1229582,wash
85272,1991212,michctapp
85272,2657017,ca3
85272,1261786,nm
85272,2133080,kyed
85272,319792,ca6
85272,240057,ca8
85272,1601669,njd
85272,1986769,illappct
85272,4763170,okla
85272,661734,ca5
85272,1530836,pamd
85272,667167,ca7
85272,1981875,mssd
85272,4764602,scotus
85272,4764617,okla
85272,4764603,scotus
85272,1646207,tnmd
85272,678574,cafc
85272,1642980,arwd
85272,320369,ca5
85272,312273,cadc
85272,361122,ca8
85272,2530871,nyed
85272,1645469,txsd
85272,1600999,tnwd
85272,4764850,okla
85272,1669105,ala
85272,2473236,cand
85272,1475407,txwd
85272,1467380,tnmd
85272,1447710,cacd
85272,1614518,kyed
85272,3539043,minn
85272,3366171,connsuperct
85272,2608974,wash
85272,4199870,texapp
85272,2365229,scotus
85272,657244,ca9
85272,682443,ca11
85272,3546882,miss
85272,1405622,miwd
85272,3545637,miss
85272,3541043,miss
85272,2664718,dcd
85272,773782,ca9
85272,774194,ca8
85272,227468,ca9
85272,4766665,scotus
85272,239673,ca6
85272,2635707,coloctapp
85272,4766664,scotus
85272,4766668,scotus
85272,227859,ca9
85272,1313029,arizctapp
85272,4857533,ca9
85272,2466866,tenn
85272,2365252,arizctapp
85272,1480597,cand
85272,1377750,pawd
85272,1835881,nhb
85272,1719806,mich
85272,1705162,ala
85272,2101925,texapp
85272,669144,ca9
85272,2102610,pacommwct
85272,1689380,reglrailreorgct
85272,1147611,colo
85272,776634,ca3
85272,3563576,mont
85272,3385053,flaag
85272,1412141,ohsd
85272,2169527,flmd
85272,1667960,njd
85272,4857099,ca9
85272,1487563,txed
85272,1404184,wyo
85272,2265003,oknd
85272,1891311,vaed
85272,2663632,dcd
85272,1891191,laed
