cited_cluster_id,citing_cluster_id,citing_court_id
85330,106821,scotus
85330,106067,scotus
85330,105152,scotus
85330,105898,scotus
85330,106879,scotus
85330,107115,scotus
85330,105594,scotus
85330,105608,scotus
85330,102167,scotus
85330,101895,scotus
85330,102271,scotus
85330,108726,scotus
85330,108763,scotus
85330,112427,scotus
85330,112444,scotus
85330,103229,scotus
85330,102756,scotus
85330,112701,scotus
85330,108291,scotus
85330,112681,scotus
85330,118363,scotus
85330,112291,scotus
85330,102111,scotus
85330,102112,scotus
85330,102126,scotus
85330,112302,scotus
85330,145660,scotus
85330,117841,scotus
85330,109702,scotus
85330,109907,scotus
85330,109915,scotus
85330,102475,scotus
85330,100926,scotus
85330,110885,scotus
85330,109012,scotus
85330,104116,scotus
85330,110961,scotus
85330,118506,scotus
85330,104455,scotus
85330,118511,scotus
85330,111094,scotus
85330,111949,scotus
85330,109520,scotus
85330,110985,scotus
85330,111441,scotus
85330,110365,scotus
85330,118316,scotus
85330,145702,scotus
85330,799995,scotus
85330,2806208,scotus
85330,1960562,scotus
85330,621043,scotus
85330,2421240,scotus
85330,2808294,scotus
85330,3205023,scotus
85330,3214883,scotus
85330,2676593,scotus
85330,2784695,scotus
85330,4510624,scotus
85330,4748670,scotus
85330,4748668,scotus
85330,3187262,scotus
85330,4749014,scotus
85330,4749015,scotus
85330,4894283,scotus
85330,4894284,scotus
85330,4903413,scotus
85330,108152,scotus
85330,112877,scotus
85330,1753,scotus
85330,111758,scotus
85330,109405,scotus
85330,117948,scotus
85330,118031,scotus
85330,117905,scotus
85330,117880,scotus
85330,117927,scotus
85330,145688,scotus
85330,215071,scotus
85330,146552,scotus
85330,4510028,scotus
85330,9398334,scotus
85330,9391545,scotus
85330,9400078,scotus
85330,9449042,scotus
85330,9473279,scotus
85330,9567048,scotus
85330,9679332,scotus
85330,9824344,scotus
85330,9947295,scotus
85330,9954582,scotus
85330,9971894,scotus
85330,9986254,scotus
85330,9986257,scotus
85330,9987186,scotus
85330,10049702,scotus
85330,10049695,scotus
85330,10318017,scotus
85330,10337235,scotus
85330,10353024,scotus
85330,118011,scotus
85330,118317,scotus
85330,118317,scotus
85330,107252,scotus
85330,107252,scotus
85330,118011,scotus
85330,118011,scotus
85330,118011,scotus
85330,4748668,scotus
85330,10589836,scotus
85330,2808294,scotus
85330,3214883,scotus
85330,7343954,scotus
85330,7350870,scotus
85330,8167887,scotus
85330,215071,scotus
85330,9242169,scotus
85330,146552,scotus
85330,145660,scotus
85330,145660,scotus
85330,145702,scotus
85330,145688,scotus
85330,118506,scotus
85330,799995,scotus
85330,118511,scotus
85330,110885,scotus
85330,110985,scotus
85330,111094,scotus
85330,111503,scotus
85330,111492,scotus
85330,112302,scotus
